Body,"Bill
Status","Official
Actions","Last
Action",Law,"Bill
Text","Chief
Author",Short Description
Senate,SF2226,16,05/20/2019,,,Westrom,"Omnibus agriculture department, rural development, and housing finance bill"
Senate,HF1733,16,05/20/2019,38,,Weber,Omnibus agriculture policy bill
Senate,SF2225,12,03/20/2019,4,,Goggin,Disaster recovery loan program expansion; retroactive effective date
Senate,HF1244,10,05/16/2019,24,,Weber,Ditch buffer strips public drainage system acquisition and compensation acceleration; runoff and sediment option under charges for public drainage ditch repairs provision
Senate,SF1889,7,05/02/2019,,,Dahms,Trunk highway rights-of-way mow or hay permits moratorium establishment
Senate,SF2230,6,03/27/2019,,,Franzen,Beginning farmer tax credits eligibility modification; farmers belonging to protected group tax credit allocation authorization
Senate,SF1995,6,03/26/2019,,,Ingebrigtsen,Farmed Cervidae requirements modification and chronic wasting disease test development appropriation
Senate,SF1859,6,05/06/2019,,,Weber,"Agricultural policy and technical provisions modifications for aquaculture, feedlots, pesticides, hemp, food handlers, eggs, milk, cheese, bioincentive and loan programs, and miscellaneous provisions"
Senate,SF0635,6,03/13/2019,,,Weber,"Agricultural fertilizer research and education fee, agricultural fertilizer research and education council, agricultural fertilizer research and education, and agricultural fertilizer research, and education account extensions"
Senate,SF0001,6,04/03/2019,,,Rosen,"Mental health coverage, claim denial review, college student services, voice response suicide prevention, crisis connection, officer-involved community-based care, tribes inclusion, school-linked and shelter-linked programs requirements and grants; community competency restoration task force; appropriations"
Senate,SF1945,5,03/20/2019,,,Weber,Ditch buffer strips public drainage system acquisition and compensation acceleration; runoff and sediment option under charges for public drainage ditch repairs provision
Senate,SF1454,5,02/27/2019,,,Lang,Rural finance authority bond issue and appropriation
Senate,SF1414,5,03/13/2019,,,Weber,"Agricultural, aquaculture, pesticide control, food handlers, dairy incentive programs, loan programs, soil, and agriculture basins provisions modifications; pasture regulation and natural deposit of manure under feedlot permits clarification"
Senate,SF0483,5,03/07/2019,,,Weber,Open air swine basin ban application to wastewater from truck washes clarification
Senate,SF0255,5,03/26/2019,,,Johnson,Beginning farmer tax credits eligibility modification
Senate,SF0251,5,03/13/2019,,,Draheim,Mental health counseling to support farm families and business operators appropriation
Senate,SF0078,5,03/14/2019,,,Westrom,Off-sale alcoholic beverage sales exclusion when determining a food handler license fee authorization
Senate,SF1695,4,03/04/2019,,,Weber,Saltwater aquatic farms requirements modifications
Senate,SF0346,4,02/18/2019,,,Westrom,Remote sugar beet storage requirements modification
Senate,SF2361,3,03/21/2019,,,Tomassoni,EquipAlife grant appropriation
Senate,SF2326,3,03/14/2019,,,Hawj,Ethnic minority and immigrant farmer outreach coordinator appropriation
Senate,SF2192,3,03/14/2019,,,Weber,Industrial hemp expedited rulemaking authorization
Senate,SF2190,3,04/04/2019,,,Goggin,Next Generation Minnesota Farmer Act; appropriation
Senate,SF1887,3,03/11/2019,,,Weber,Second Harvest Heartland appropriation
Senate,SF1750,3,03/04/2019,,,Dziedzic,University of Minnesota agricultural research and extension appropriation
