Body,"Bill
Status","Official
Actions","Last
Action",Law,"Bill
Text","Chief
Author",Short Description
House,HF0058,10,5/1/2019,15,,Dettmer,"West Lakeland Township, Bayport, and Oak Park Heights; Trunk Highway 95 segment designated as Corrections Officer Joseph Gomm Memorial Highway."
House,HF0836,9,5/15/2019,,,Albright,Jordan; Richard J. Ames Memorial Highway designated.
House,HF1063,8,3/28/2019,,,Persell,"Veterans; a resolution memorializing the United States government to fund construction costs for proposed veterans homes in Bemidji, Montevideo, and Preston."
House,HF0548,8,5/1/2019,,,Haley,Red Wing; Eisenhower Memorial Bridge over the Mississippi River renamed as Bridge of Valor.
House,HF1179,7,4/8/2019,,,Wolgamott,"St. Cloud Northstar Commuter Rail extension funding provided, report required, bonds issued, and money appropriated."
House,SF1003,7,5/19/2019,55,,Albright,Jordan; Richard J. Ames Memorial Highway designated.
House,HF0598,7,3/8/2019,,,Hausman,"St. Paul; International Institute of Minnesota renovation and expansion funding provided, bonds issued, and money appropriated."
House,HF0322,7,3/28/2019,,,Garofalo,"Randolph; wastewater collection and treatment system funding provided, bonds issued, and money appropriated."
House,HF0143,7,5/10/2019,,,Ecklund,"Minneapolis-St. Paul Airport Armed Forces Service Center grant funding provided for the replacement of furniture and beds used by active duty service members waiting for connecting flights, and money appropriated."
House,HF1594,6,3/4/2019,,,Richardson,"Minneapolis; YWCA funding provided for job skills training in early childhood education, and money appropriated."
House,HF1216,6,4/1/2019,,,Schultz,"Duluth; regional exchange district establishment authorized, state general sales tax exemption provided, advisory board created, powers and duties conferred, tax abatement and tax increment financing rules provided, local sales and use tax imposition authorized, state appropriation bonds issued, and money appropriated."
House,HF0409,6,3/21/2019,,,Hassan,"St. Paul; Family Tree Clinic funding provided, and money appropriated."
House,HF0408,6,3/15/2019,,,Poppe,"Austin; Cedar River Watershed District funding provided, bonds issued, and money appropriated."
House,HF2132,5,3/15/2019,,,Lee,"Minneapolis; Mississippi River and trail connections access funding provided, bonds issued, and money appropriated."
House,HF2118,5,3/15/2019,,,Koegel,"Blaine; National Sports Center funding provided, bonds issued, and money appropriated."
House,HF2040,5,3/27/2019,,,Brand,"St. Peter Regional Treatment Center Minnesota sex offender program facilities Phase 2 improvements funding provided, bonds issued, and money appropriated."
House,HF1806,5,4/8/2019,,,Boe,"Chanhassen; Lyman Boulevard upgrade funding provided, and money appropriated."
House,HF1674,5,3/11/2019,,,Hornstein,"Metropolitan Council and Calhoun Isles Condominium Association facilitated conversation required, Metropolitan Council vibration susceptibility study required, and Metropolitan Council cost reimbursement to Calhoun Isles Condominium Association required."
House,HF1598,5,3/15/2019,,,Hansen,"West St. Paul; wastewater infrastructure improvements funding provided, bonds issued, and money appropriated."
