Body,"Bill
Status","Official
Actions","Last
Action",Law,"Bill
Text","Chief
Author",Short Description
Senate,SF2313,10,05/20/2019,26,,Utke,Insurance provisions modifications for conformance with certain model regulations authorization; rulemaking authorization; supplemental Medicare coverage federally conforming changes
Senate,SF1703,9,05/13/2019,20,,Koran,"Credit union conversion, merger or consolidation supermajority requirements elimination"
Senate,SF0761,9,03/11/2019,,,Dahms,Minnesota premium security plan funding operation extension; reporting specifications
Senate,HF0359,9,05/19/2019,47,,Howe,Flame-retardant chemical use in certain products prohibition
Senate,HF1960,8,05/19/2019,59,,Utke,Miscellaneous commerce department provisions modifications
Senate,HF1840,8,05/09/2019,19,,Pratt,Subprime statutory references removal
Senate,SF1757,8,03/28/2019,,,Utke,Commerce department use of appropriations for certain legal proceedings prohibition
Senate,HF0990,8,05/19/2019,58,,Dahms,Residential mortgage originators licensing requirement exemption establishment; federal truth in lending requirements conformity authorization
Senate,SF0947,8,03/26/2019,,,Rarick,Public contracts and building and construction contracts retainage requirements modification
Senate,SF1229,7,05/17/2019,,,Utke,Parity between mental health benefits and other medical benefits requirement; health and commerce commissioners accountability requirement
Senate,SF0934,6,04/11/2019,,,Dahms,Residential mortgage originators licensing requirement exemption establishment; federal truth in lending requirements conformity authorization
Senate,SF0064,6,01/17/2019,,,Marty,Fair repair requirements for manufacturers of digital electronic products
Senate,SF2310,5,04/11/2019,,,Utke,Miscellaneous commerce department provisions modifications
Senate,HF2276,5,04/04/2019,,,Chamberlain,Trichloroethylene in products and in manufacturing processes ban
Senate,SF2075,5,04/04/2019,,,Chamberlain,Trichloroethylene in products and in manufacturing processes ban
Senate,SF1673,5,04/11/2019,,,Pratt,Subprime statutory references removal
Senate,SF1590,5,03/14/2019,,,Rarick,Waste tire facilities financial qualifications and assurance requirement
Senate,SF0239,5,03/11/2019,,,Eichorn,Manufactured and modular homes provisions modifications
Senate,SF0078,5,03/14/2019,,,Westrom,Off-sale alcoholic beverage sales exclusion when determining a food handler license fee authorization
Senate,SF0077,5,02/04/2019,,,Chamberlain,Seasonal temporary food stand licensure requirement exemption
Senate,SF1695,4,03/04/2019,,,Weber,Saltwater aquatic farms requirements modifications
Senate,SF1077,4,03/11/2019,,,Osmek,Digital Fair Repair Act
Senate,SF0948,4,02/14/2019,,,Mathews,Building and construction contracts requirements modification and clarification
Senate,SF0512,4,03/26/2019,,,Koran,Electronic paddlewheel regulation; symbol use authorization and wagering and ticket requirement modification
Senate,SF2474,3,04/03/2019,,,Dahms,Omnibus commerce and consumer protection bill
Senate,SF2192,3,03/14/2019,,,Weber,Industrial hemp expedited rulemaking authorization
Senate,HF2154,3,04/10/2019,,,Kiffmeyer,Gambling control board regulatory provisions modifications
Senate,SF1104,3,03/27/2019,,,Utke,Small business development center services appropriation
Senate,SF1020,3,03/07/2019,,,Draheim,Real estate transactions designated agency for buyer and seller authorization
Senate,SF1015,3,03/11/2019,,,Ruud,Farmed cervidae additional fencing requirements
Senate,SF0901,3,02/18/2019,,,Rest,Construction materials purchased by certain contractors sales and use tax exemption modification
Senate,SF0788,3,02/25/2019,,,"Anderson, P.",Small business investment (angel) tax credit permanency establishment
Senate,SF0783,3,02/25/2019,,,Simonson,Mining promotion responsibilities modification
Senate,SF0774,3,02/18/2019,,,Koran,Hair braiders exemption from cosmetology registration requirements
Senate,SF0756,3,02/11/2019,,,Marty,Plastic straw use in restaurants restrictions establishment
Senate,SF0469,3,02/28/2019,,,Koran,Manufactured home parks as housing improvement areas eligibility clarification; housing infrastructure bonds usage for manufactured home parks authorization
Senate,SF0317,3,01/28/2019,,,Latz,Internet service providers serving Minnesota customers and those under contract to the state or political subdivisions adherence to net neutrality requirement
Senate,SF0240,3,01/22/2019,,,Clausen,DFE products abuse and sale to persons under 21 prohibition
Senate,SF2881,2,05/13/2019,,,Kiffmeyer,Exclusive liquor stores items for sale modification
Senate,SF2852,2,04/29/2019,,,Eaton,Corporations to act in the public interest requirement
Senate,SF2814,2,04/08/2019,,,Benson,Health carrier reference-based pricing health plan in individual and small group markets offering
Senate,SF2764,2,04/01/2019,,,Eaton,Greenhouse gas emissions reduction strategy study and report
Senate,SF2709,2,03/27/2019,,,Miller,Hmong Chamber of Commerce grant appropriation
Senate,SF2698,2,03/26/2019,,,Koran,Gasoline sales below cost prohibition repeal
Senate,SF2684,2,03/26/2019,,,Housley,Short-term health care plan policies sales authorization
Senate,SF2663,2,03/25/2019,,,Abeler,Commercial wineries limited self-distribution authorization
Senate,SF2563,2,03/18/2019,,,Pratt,Intrastate Securities Exchange Act
Senate,SF2496,2,03/14/2019,,,Bigham,Cannabinoid products derived from industrial hemp sale authorization
Senate,SF2435,2,03/13/2019,,,Dziedzic,Workforce certificates of compliance equal application to in-state and out-of-state contractors requirement
Senate,SF2391,2,03/13/2019,,,Utke,Pierz on-sale intoxicating liquor license issuance authorization
Senate,SF2390,2,03/13/2019,,,Housley,Post accident insurance funded motor vehicles repairs provisions modification
Senate,SF2312,2,03/11/2019,,,Mathews,Small business definition modification
Senate,SF2290,2,03/11/2019,,,Dziedzic,Income apportionment provisions modification; attribution of receipts for services performed for certain investment company funds to the state where the shareholders reside requirement
Senate,SF2270,2,03/11/2019,,,Eken,Wine for personal use direct shipment volume limits elimination
Senate,SF2228,2,03/11/2019,,,Kiffmeyer,Gambling control board regulatory provisions modifications
Senate,SF2117,2,03/07/2019,,,"Anderson, P.",Minnetonka lactic acid production initiative grant appropriation
Senate,SF2106,2,03/07/2019,,,Sparks,Austin and Rochester on-sale liquor licenses issuance authorization
Senate,SF2095,2,03/07/2019,,,Laine,Salon licensure requirements and continuing education requirements modification
Senate,SF2090,2,03/07/2019,,,Ruud,Manufactured home certificates of title provisions modifications
Senate,SF2088,2,03/07/2019,,,Marty,Chemical use in food packaging regulation
Senate,SF2068,2,03/07/2019,,,Weber,Real estate appraisers regulation modification
Senate,SF2008,2,03/04/2019,,,Rarick,Taxation exemption for qualified business improvements
Senate,SF1989,2,03/04/2019,,,Ruud,Small business loan program for environmental improvement modification
Senate,SF1983,2,03/04/2019,,,Jasinski,Moving image industry incentive program establishment and appropriation
Senate,SF1977,2,03/04/2019,,,Rarick,Sunday liquor sales hours modification
Senate,SF1948,2,03/04/2019,,,Utke,White Earth Nation integrated business development system appropriation
Senate,SF1930,2,02/28/2019,,,Simonson,Hard cider sales by licensed wine manufacturers at on-sale or off-sale without Minnesota grown requirement
Senate,SF1918,2,02/28/2019,,,"Anderson, P.",Small business technological assistance appropriation
Senate,SF1895,2,02/28/2019,,,Ingebrigtsen,Trade associations access to vehicle registration information fee application waiver
Senate,SF1885,2,02/28/2019,,,Housley,Fireworks limited personal use authorization
Senate,SF1854,2,02/28/2019,,,Rarick,Brew pubs hard cider production authorization
Senate,SF1849,2,02/28/2019,,,Osmek,Brewer off-sales allowable container sizes expansion
Senate,SF1781,2,02/27/2019,,,Housley,Exclusive liquor stores growler refill authorization
Senate,SF1780,2,02/27/2019,,,Housley,Brewer taprooms offering limited sale of collaboration malt liquor authorization
Senate,SF1779,2,02/27/2019,,,Pratt,Commercial PACE loan program modification
Senate,SF1737,2,02/25/2019,,,Housley,Brewer off-sale license condition modification
Senate,SF1667,2,02/25/2019,,,Ruud,Certified salt applicator program establishment
Senate,SF1661,2,02/25/2019,,,Howe,"Active military service members under 21 may consume, purchase and possess alcohol"
Senate,SF1648,2,02/25/2019,,,Hayden,Consumer short-term and small loans interest rates regulation
Senate,SF1627,2,02/25/2019,,,Wiger,New motor vehicle warranties modification
Senate,SF1553,2,02/21/2019,,,Latz,Telecommunication service providers compliance with internet privacy requirements; express approval of disclosure of personally identifiable information requirement; civil liability threshold increase
Senate,SF1529,2,02/21/2019,,,Senjem,Unrelated business taxable income definition modification
Senate,SF1514,2,02/21/2019,,,Hoffman,Kiosk tobacco sales authorization
Senate,SF1480,2,02/21/2019,,,Rarick,Made in Minnesota solar energy production incentive payment remaining obligation appropriation
Senate,SF1447,2,02/18/2019,,,Bigham,Hemp growers sales of state grown hemp to medical cannabis program manufacturers authorization
Senate,SF1147,2,02/14/2019,,,Osmek,Temporary liquor license issuance city population requirements modification
Senate,SF1094,2,02/11/2019,,,Draheim,Manufactured home provisions modifications
Senate,SF1091,2,02/11/2019,,,Weber,Facilitating Business Rapid Response to Declared State of Disaster Act
Senate,SF0946,2,02/07/2019,,,Torres Ray,Exodus lending grant for payday loan resolution and financial stability programs appropriation
Senate,SF0925,2,02/07/2019,,,Franzen,Locksmiths and locksmith services regulation authorization
Senate,SF0924,2,02/07/2019,,,Pratt,Financial institutions account in the special revenue fund funding authorization
Senate,SF0899,2,02/07/2019,,,Pratt,Financial services inclusion program grant to Prepare and Prosper appropriation
Senate,SF0841,2,02/04/2019,,,Marty,Prescription drug pricing all financial transactions disclosure requirement
Senate,SF0796,2,02/04/2019,,,Pratt,"Pari-mutuel horse racing reporting, licensing and regulation provisions modifications"
Senate,SF0722,2,01/31/2019,,,Hayden,For-profit health maintenance organizations two percent premium revenue tax payment clarification
Senate,SF0720,2,01/31/2019,,,Klein,MinnesotaCare Buy-In Option establishment
Senate,SF0719,2,01/31/2019,,,Klein,MinnesotaCare purchase option for individuals whose income is greater that the income eligibility limit federal waiver request
Senate,SF0694,2,01/31/2019,,,Frentz,"Greater Mankato Growth, Inc. agriculture related business assistance grant appropriation"
Senate,SF0656,2,01/31/2019,,,Rest,Nonresident board members sourcing rules for income establishment
Senate,SF0425,2,01/24/2019,,,Marty,Sustainable energy future planning strategy to state contribution to greenhouse gases from burning fossil fuels reestablishment
