Body,"Bill
Status","Official
Actions","Last
Action",Law,"Bill
Text","Chief
Author",Short Description
House,HF2849,19,05/16/2019,34,,Bernardy,"Argosy University closure student relief provided, and report required."
House,SF1743,18,03/28/2019,5,,Christensen,"Calculation of days and hours of instruction and compensation for school days canceled during the 2018-2019 school year modified, and affected school districts required to report to the commissioner."
House,HF0331,15,03/27/2019,,,Edelson,"Tobacco; charter schools added to prohibition of tobacco in schools, tobacco sale age increased, administrative penalties increased, municipal license of tobacco provision added, and alternative penalties allowed."
House,HF1370,11,03/21/2019,,,Erickson,"Gifted and talented provisions modified, and transitional outcomes improved."
House,HF2551,10,05/15/2019,,,Bernardy,"Gifted and talented program provisions modified, and funding increased."
House,HF1133,10,03/25/2019,,,Acomb,"Solar energy systems installation on school buildings by school districts grant program established, account and reserve account created, and money appropriated."
House,HF0491,10,03/20/2019,,,Demuth,"School employees, independent contractors, and persons in positions of authority who have sexual relationships with students penalties established."
House,HF2195,9,03/27/2019,,,Pryor,"Early care and education program requirements governed including quality rating and improvement system, implementation outreach, universal identified requirements, and data practices evaluation; early care and education coordination task force established; technical changes made; and money appropriated."
House,HF1982,9,03/20/2019,,,Christensen,School calendar adjustment authorized for instructional days and work hours lost due to school closings during the 2018-2019 school year.
House,HF1883,9,04/08/2019,,,Kotyza-Witthuhn,"Foster care student enrollment in school required, and foster youth school enrollment report required."
House,HF1282,9,03/27/2019,,,Murphy,"Regional public library systems aid distribution modified, and money appropriated."
House,HF1582,8,03/11/2019,,,Youakim,"Parent-child home program funding provided, and money appropriated."
House,HF1414,8,03/13/2019,,,Lippert,"Sexual health curriculum model program development required, and report required."
House,HF1649,7,03/18/2019,,,Ecklund,School bus companies third-party testing provided.
House,HF1341,7,03/20/2019,,,Wazlawik,"Water safety grant program funding provided, and money appropriated."
House,HF1142,7,03/27/2019,,,Tabke,State aid for debt service equalization aid increased.
House,HF0055,7,04/03/2019,,,Jurgens,School meal provisions modified.
House,HF1494,6,03/27/2019,,,Kunesh-Podein,"Dyslexia instruction required for all teaching license tiers preparation programs, and report required."
House,HF0802,6,02/28/2019,,,Urdahl,Erin's Law personal safety instruction required.
House,HF0116,6,02/27/2019,,,Freiberg,School districts authorized to renew expiring referendums by action of school board.
House,HF2529,5,04/11/2019,,,Murphy,Omnibus capital investment bill.
House,HF2401,5,04/03/2019,,,Davnie,General education aid modified.
House,HF1711,5,03/18/2019,,,Youakim,"Prekindergarten through grade 12 technical and policy changes made including general education, education excellence, teachers, special education, health and safety, facilities, nutrition, and state agencies; and reports required."
House,HF1566,5,03/07/2019,,,Kunesh-Podein,"Substance misuse prevention instruction grant funding provided, report required, and money appropriated."
House,HF1496,5,04/03/2019,,,Edelson,Dyslexia screening required in school.
House,HF1495,5,03/27/2019,,,Kunesh-Podein,Teacher training required to implement instructional strategies to meet dyslexic needs in all teaching license tiers.
House,HF1422,5,03/18/2019,,,Baker,Seizure training required in schools.
House,HF1391,5,04/09/2019,,,Marquart,School building bond agricultural credit modified.
House,HF0955,5,03/11/2019,,,Koegel,"SciTechsperience program funding provided, and money appropriated."
House,HF0847,5,03/11/2019,,,Her,High school graduation personal finance required.
House,HF0618,5,04/08/2019,,,Runbeck,School district equalized referendum levies calculation modified.
House,HF0329,5,02/11/2019,,,Daniels,Dyslexia specialist duties modified.
House,HF0073,5,03/11/2019,,,Gunther,Pupils enrolled in career and technical education courses extended time use expanded.
House,HF2610,4,03/28/2019,,,Pinto,School readiness aid modified.
House,HF2210,4,03/14/2019,,,Poston,"Average daily pupil membership definition technical changes made, and extended time revenue formula modified."
House,HF2111,4,03/28/2019,,,Kotyza-Witthuhn,"Reach Out and Reach Minnesota program grant funding provided, and money appropriated."
House,HF1916,4,03/08/2019,,,Lislegard,"School property rehabilitation grant program established, bonds issued, and money appropriated."
House,HF1868,4,03/07/2019,,,Youakim,Student journalists in grades 6 through 12 speech and press rights clarified.
House,HF1742,4,03/11/2019,,,Kotyza-Witthuhn,Voluntary prekindergarten program participation limits increased.
House,HF1676,4,02/28/2019,,,Richardson,"Voluntary prekindergarten program funded participant number for fiscal year 2020 and later increased, and money appropriated."
House,HF1572,4,03/13/2019,,,Sandell,"Service-learning grant program established, report required, and money appropriated."
House,HF1559,4,03/07/2019,,,Youakim,"Paraprofessionals paid orientation required, paraprofessional training funding provided, and money appropriated."
House,HF1504,4,04/11/2019,,,Davnie,"Youth skills training program modified, and money appropriated."
House,HF1353,4,03/18/2019,,,Koegel,"School counselors allowed to consult with Department of Labor and Industry, and school districts allowed to grant persons promoting skilled trade careers to secondary students."
House,HF1336,4,03/07/2019,,,Hamilton,"Lamberton; new school or existing school renovation and expansion funding provided, bonds issued, and money appropriated."
House,HF1306,4,04/26/2019,,,Baker,"Special education paperwork requirements reduced, and report required."
House,HF1230,4,03/25/2019,,,Pinto,"Early learning scholarship eligibility modified, and voluntary prekindergarten programs expanded to five groups."
House,HF0761,4,03/18/2019,,,Erickson,"Pupil transportation for certain homeless students authority assigned, and money appropriated."
House,HF0692,4,03/11/2019,,,Poppe,Pupils enrolled in career and technical education courses extended time use expanded.
House,HF0532,4,03/07/2019,,,Erickson,"Background checks required on all first-time teaching applicants, mandatory reporting expanded, and teacher code of ethics codified in statute and code of ethics repealed in rule."
House,HF0328,4,02/07/2019,,,Runbeck,Dyslexia instruction in teacher preparation programs required.
House,HF0213,4,03/13/2019,,,Dettmer,School counseling provisions modified to encourage armed forces career options.
House,HF0033,4,01/24/2019,,,Poston,Service cooperatives included in governmental units definition for joint powers purposes.
House,HF2903,3,05/20/2019,,,Kotyza-Witthuhn,Schools required to make disposable menstrual products freely available in school restrooms.
House,HF2663,3,03/28/2019,,,Pryor,Higher education state grant program parameters adjusted.
House,HF2640,3,03/27/2019,,,Edelson,"Cursive instruction in elementary school provided, and money appropriated."
House,HF2596,3,03/20/2019,,,"Xiong, T.",Incentives provided for individuals near degree completion to complete degree.
House,HF2590,3,03/18/2019,,,Quam,"Commissioner of education authorized to increase early learning scholarship amounts, early childhood professional development funding provided, and money appropriated."
House,HF2552,3,03/21/2019,,,Nornes,"African immigrant credential integration report funding provided, and money appropriated."
House,HF2493,3,03/18/2019,,,Kresha,"SciTechsperience program funding provided, and money appropriated."
House,HF2463,3,03/13/2019,,,Pinto,"Early childhood, child care, and family support program eligibility, participation, and requirements modified."
House,HF2352,3,03/13/2019,,,Bennett,"School districts authorized to use long-term facilities maintenance revenue for projects that increase safety and securities, and supplemental aid program that pay a portion of costs for projects that increase safety established."
House,HF2264,3,03/08/2019,,,Wazlawik,"Retaining early educators through attaining incentives now (REETAIN) grant program established, reports required, and money appropriated."
House,HF2239,3,03/11/2019,,,Layman,"Dyslexia training for teachers funding provided, report required, and money appropriated."
House,HF2068,3,03/21/2019,,,Sandell,School conference and activities leave modified to include an employee's grandchild.
House,HF1880,3,03/15/2019,,,Sandstede,Permanent school fund compensation authority clarified.
House,HF1877,3,04/01/2019,,,Heintzeman,"Firearms safety, archery, hunting, and angling inclusion in school physical education courses grant established; report required; and money appropriated."
House,HF1838,3,03/18/2019,,,Sandell,"School administrator licensure fee modified, special revenue fund administrator licensure account created, and money appropriated."
House,HF1821,3,03/04/2019,,,Lucero,"Student Data Privacy Act created, and penalties provided."
House,HF1590,3,02/28/2019,,,Bernardy,"Early education provisions modified, five regions for the voluntary prekindergarten program established, and school readiness plus program made permanent."
