Body,"Bill
Status","Official
Actions","Last
Action",Law,"Bill
Text","Chief
Author",Short Description
House,HF2208,27,05/10/2019,,,Mahoney,"Omnibus jobs and economic development, energy and climate, and telecommunications policy and finance bill."
House,HF0005,18,04/25/2019,,,Halverson,"Paid family, pregnancy, bonding, and applicant's serious medical condition benefits provided; employment leaves regulated and required; data classified; and rulemaking authorized."
House,HF0884,12,03/18/2019,,,Schultz,"Workforce and affordable homeownership development program qualified entities to participate in and funding types available expanded, workforce and affordable homeownership account created in housing development fund, and money appropriated."
House,HF0011,10,04/26/2019,,,Lesch,"Earned sick and safe time provided, rulemaking authorized, civil penalties imposed, reports required, and money appropriated."
House,HF0006,10,04/26/2019,,,Mahoney,"Wage theft prohibited, wage payment modified, civil and criminal penalties increased, administrative review allowed, and money appropriated."
House,HF2821,9,05/18/2019,,,Lesch,Federal Reserve Bank disclosure of taxpayer return information authorized for study.
House,HF2181,8,04/30/2019,13,,Sandstede,Telecommuter Forward! certification created.
House,HF0994,7,03/20/2019,,,Davids,"Venture SE Minnesota Diversification revolving loan program created, and money appropriated."
House,HF1594,6,03/04/2019,,,Richardson,"Minneapolis; YWCA funding provided for job skills training in early childhood education, and money appropriated."
House,HF1253,6,04/26/2019,,,Stephenson,"Barriers to employment for people with mental illness report required, and money appropriated."
House,HF0790,6,03/21/2019,,,Franson,Lawn mower operation categorization clarified.
House,HF0352,6,02/25/2019,,,Drazkowski,"Employees granted the right to work without being required to become a member or pay fees to a labor organization, penalties and jurisdiction created, and other unfair labor practices provided."
House,HF0263,6,03/07/2019,,,Koegel,"Minnesota Association for Volunteer Administration grant funding provided, reports required, and money appropriated."
House,HF0256,6,02/14/2019,,,Koegel,"Paid family, pregnancy, bonding, and serious medical condition benefits provided; employment leaves regulated and required; data classified; rulemaking authorized; and money appropriated."
House,HF0141,6,03/07/2019,,,Poppe,Port authorities; majority vote of commissioners required to approve real property sales and transfers.
House,HF2474,5,03/19/2019,,,Claflin,"Child care economic grant program created, and money appropriated."
House,HF1781,5,04/03/2019,,,Mahoney,"Minnesota investment fund use modified, and report required."
House,HF1012,5,03/04/2019,,,Claflin,"Displaced homemaker programs funding provided, and money appropriated."
House,HF0955,5,03/11/2019,,,Koegel,"SciTechsperience program funding provided, and money appropriated."
House,HF0678,5,02/21/2019,,,Davnie,"Job skills training for recently released inmates funding provided, and money appropriated."
