Body,"Bill
Status","Official
Actions","Last
Action",Law,"Bill
Text","Chief
Author",Short Description
Senate,SF2314,11,05/01/2019,,,Ingebrigtsen,Omnibus environment and natural resources bill
Senate,HF0653,11,05/13/2019,,,Ruud,Omnibus legacy finance bill
Senate,HF1244,10,05/16/2019,24,,Weber,Ditch buffer strips public drainage system acquisition and compensation acceleration; runoff and sediment option under charges for public drainage ditch repairs provision
Senate,SF1039,9,04/01/2019,,,Goggin,Renewable development account public utility annual contribution modification; Prairie Island net zero project establishment and grant appropriation; business compensation process for loss of business opportunity resulting from the sale and closure of a biomass energy plant establishment; appropriating money
Senate,SF1889,7,05/02/2019,,,Dahms,Trunk highway rights-of-way mow or hay permits moratorium establishment
Senate,SF2201,6,05/16/2019,,,Chamberlain,Environmental and natural resources trust fund appropriations; previous appropriations modifications
Senate,SF0836,6,05/07/2019,,,Ruud,Regional parks and trails appropriation
Senate,SF0226,6,05/20/2019,,,Koran,Two-line angling by residents and non-residents with second-line endorsement authorization
Senate,SF2359,5,03/21/2019,,,Eaton,Trapping requirements modification; snares and traps permission requirement; reporting; licensure forfeiture for violations
Senate,SF1945,5,03/20/2019,,,Weber,Ditch buffer strips public drainage system acquisition and compensation acceleration; runoff and sediment option under charges for public drainage ditch repairs provision
Senate,SF1278,5,03/26/2019,,,Draheim,State Park Open House Days expansion
Senate,SF0390,5,03/26/2019,,,Ingebrigtsen,Reinvest in Fish Hatcheries Citizen-Legislative Advisory Group establishment
Senate,SF0182,5,03/14/2019,,,Lang,Biomass business compensation authorization
Senate,SF2581,4,04/04/2019,,,Draheim,Northfield Mill Towns state trail local trail connections development bond issue and appropriation
Senate,SF2162,4,03/14/2019,,,Housley,Interstate state park name change to Walter F. Mondale state park
Senate,SF2096,4,03/21/2019,,,Ingebrigtsen,Outdoor recreation grants provisions modifications; game and fish law modifications
Senate,SF1906,4,03/20/2019,,,Ruud,Emerald ash borer response program establishment and appropriation
Senate,SF1695,4,03/04/2019,,,Weber,Saltwater aquatic farms requirements modifications
Senate,SF1443,4,03/11/2019,,,Ruud,Soil and water conservation districts funding authorization
Senate,SF0842,4,02/21/2019,,,Housley,Trapping on certain private lands without written permission prohibition
Senate,SF0835,4,03/26/2019,,,Ruud,Miscellaneous natural resources provisions modifications and appropriations
Senate,SF0063,4,01/17/2019,,,Ruud,Environment and natural resources trust fund use for payment of debt service on bonds prohibition
Senate,SF2562,3,03/28/2019,,,Eichorn,Forest inventory data quality improvement appropriation
Senate,SF2500,3,03/20/2019,,,Howe,Night vision equipment while hunting coyote or fox authorization
Senate,SF2357,3,04/24/2019,,,Eaton,Watercraft surcharge increase; invasive species research account creation and receipts dedication
Senate,SF2237,3,03/14/2019,,,Ruud,Minnesota Outdoor Recreation Office establishment and appropriation
Senate,SF2160,3,04/08/2019,,,Jasinski,Northern Links Trail bond issue and appropriation
Senate,SF2115,3,04/08/2019,,,Howe,Legal firearms to take turkeys modification
Senate,SF2109,3,03/20/2019,,,Rosen,Closed landfill investment fund procedures modification
Senate,SF2102,3,04/08/2019,,,Draheim,Water resources department establishment; board of water and soil resources (BWSR) and environmental quality board (EQB) abolishment
Senate,SF1814,3,03/04/2019,,,Koran,"Natural resources department (DNR), pollution control agency (PCA) and board of water and soil resources (BWSR) appropriation reduction for unfilled positions authorization"
Senate,SF1733,3,03/11/2019,,,Ruud,Soil and water conservation districts duties and services specification
Senate,SF1729,3,03/13/2019,,,Ingebrigtsen,Chronic wasting disease and wildlife disease management appropriation
Senate,SF1551,3,03/13/2019,,,Weber,Soil loss limits clarification; conflict resolution process for certain damage to buffers or alternative practices authorization
Senate,SF1391,3,03/13/2019,,,Lang,Watershed district construction or implementation fund and project tax levy sources of financing expansion
Senate,SF1329,3,02/27/2019,,,Bigham,Donated venison processing reimbursement increase
Senate,SF1067,3,02/21/2019,,,Eichorn,Forest and bioeconomy research appropriation
Senate,SF1063,3,03/25/2019,,,Johnson,Clean Water Legacy Act modification; coordinated watershed management establishment
Senate,SF1019,3,02/21/2019,,,Lang,Outdoor heritage fund appropriations
Senate,SF0941,3,02/27/2019,,,Senjem,Wildlife management areas insecticide use prohibition
Senate,SF0897,3,03/13/2019,,,Hayden,Cannabis task force establishment
Senate,SF0879,3,03/07/2019,,,Champion,Supplemental environmental projects offers in conjunction with certain enforcement actions against polluters establishment
Senate,SF0783,3,02/25/2019,,,Simonson,Mining promotion responsibilities modification
