Body,"Bill
Status","Official
Actions","Last
Action",Law,"Bill
Text","Chief
Author",Short Description
House,HF0050,25,04/12/2019,11,,Hornstein,"Cell phone use prohibited by person operating a vehicle while vehicle is in motion or a part of traffic, and voice-activated hands-free mode exception provided."
House,HF0015,19,05/01/2019,16,,Stephenson,Voluntary relationship defense for criminal sexual conduct crimes eliminated.
House,SF0802,15,05/01/2019,,,Mariani,Omnibus public safety bill.
House,HF0070,13,05/09/2019,,,Kunesh-Podein,"Task Force on Missing and Murdered Indigenous Women created, violence against indigenous women and girls annual report required, and money appropriated."
House,HF1061,12,04/26/2019,,,Lesch,"Drivers' license suspension by the commissioner of public safety authority modified, retroactive driver's license reinstatement provided, technical changes made, and report required."
House,HF0682,12,03/28/2019,,,Pelowski,Disaster contingency account money transferred.
House,SF1100,11,05/17/2019,40,,Kunesh-Podein,Prairie Island Indian Community requirements modified to exercise concurrent state law enforcement jurisdictional authority.
House,HF1520,10,03/25/2019,,,Sandstede,"911 dispatchers required to be trained to provide cardiopulmonary resuscitation instruction, monitoring and enforcement provided, civil immunity established, and money appropriated."
House,HF0492,10,03/27/2019,,,Dettmer,Traffic violations that cause great bodily harm or death to another misdemeanor established.
House,HF0040,10,05/14/2019,,,Dehn,"Civil right to vote of an individual restored upon release from incarceration or upon sentencing if no incarceration is imposed, and notice required."
House,HF1408,9,05/09/2019,,,Koegel,"Peace officers authorized to issue citations based on report from work zone flagger, and penalties provided."
House,HF0729,9,02/21/2019,,,Considine,"Minnesota State Patrol trooper salary setting requirements established, and state auditor required to conduct an annual compensation survey."
House,HF2792,8,04/25/2019,,,Mariani,Omnibus public safety bill.
House,HF1060,8,04/26/2019,,,Lesch,"Criminal and traffic surcharge reduction or waiver authorized; courts required to consider indigency or hardship before imposing fines, fees, or surcharges; and notice required."
House,HF0932,8,03/20/2019,,,Moller,Emergency contacts disclosure on driver's license applications authorized.
House,HF0741,8,02/28/2019,,,Noor,Money bail use for certain offenses limited.
House,SF0307,8,03/28/2019,6,,Pelowski,Disaster contingency account money transferred.
House,HF0268,8,03/18/2019,,,Drazkowski,"Firearms; right to carry without a permit provided, and option permit to carry provided."
House,HF0028,8,04/03/2019,,,"Carlson, A.",Firearm transfer criminal background checks required.
House,HF2066,7,04/23/2019,,,Runbeck,Criminal background checks authorized by local units of government.
House,SF1753,7,05/16/2019,35,,Koegel,Peace officers authorized to issue citations based on report from work zone flagger.
House,HF0530,7,03/14/2019,,,Johnson,"Domestic abuse prevention program for veterans and their families funding provided, and money appropriated."
House,HF0479,7,04/12/2019,,,Becker-Finn,"Domestic violence and sexual assault prevention program established, reports required, and money appropriated."
House,HF0418,7,04/03/2019,,,Moller,"Criminal sexual conduct statutory reform working group created, report required, and money appropriated."
House,HF0373,7,04/11/2019,,,Franson,"Female genital mutilation crime expanded, education and outreach requirements updated, and egregious definition expanded."
House,HF0104,7,04/10/2019,,,Dettmer,"Cell phones; texting while driving penalties increased and wireless communications device forfeiture authorized, improper use of wireless communications device while driving crimes provided to be non-payable offenses, criminal vehicular operation crime expanded, driver education and driver's manual required to cover distracted driving, and rulemaking authorized."
House,HF1955,6,03/18/2019,,,Moller,"Predatory offender registration provisions amended, Statewide Emergency Communication Board provisions modified, and wheelchair securement device requirements modified."
House,HF0802,6,02/28/2019,,,Urdahl,Erin's Law personal safety instruction required.
House,HF0665,6,02/18/2019,,,Edelson,"Youth intervention programs funding provided, and money appropriated."
House,HF0421,6,02/16/2019,,,Grossell,Criminal penalties for assaulting firefighters and medical personnel enhanced.
House,HF0341,6,05/14/2019,,,Mariani,Sex offense sentencing guidelines reviewed.
House,HF0111,6,01/31/2019,,,Kunesh-Podein,"Task Force on Missing and Murdered Indigenous Women created, violence against indigenous women and girls annual report required, and money appropriated."
House,HF2317,5,03/20/2019,,,Jurgens,Disaster assistance contingency account funding received.
House,HF1934,5,05/02/2019,,,Gomez,"Community Corrections Act subsidy increased, and money appropriated."
House,HF1375,5,02/21/2019,,,Considine,Driving while distracted or without a valid license and causing bodily harm or death increased penalties established.
House,HF0897,5,02/27/2019,,,Dehn,"Juvenile detention alternatives throughout state funding provided, and money appropriated."
House,HF0773,5,03/18/2019,,,Koegel,"Blaine; regional public safety training facility funding provided, bonds issued, and money appropriated."
House,HF0689,5,05/20/2019,,,Long,"Probation length for certain offenses modified, and court-granted early termination and discharge of probation clarified."
House,HF0480,5,03/20/2019,,,O'Neill,"Criminal sexual conduct definitions amended, criminal sexual conduct offenses expanded for persons in current or recent positions of authority over juveniles, affirmative defenses to criminal sexual conduct charges eliminated, and statute of limitations removed for felony criminal sexual offenses."
House,HF0464,5,03/20/2019,,,O'Neill,"Domestic abuse transformation program account established to fund domestic abuse transformation programs, and money appropriated."
House,HF0089,5,04/03/2019,,,Grossell,"Child pornography offense penalties increased, mandatory minimum sentences created, and Sentencing Guidelines Commission directed to modify sex offender grid."
House,HF0009,5,03/06/2019,,,Richardson,Firearms; law enforcement and family members enabled to petition a court to prohibit people from possessing firearms if they pose a significant danger to themselves or others by possessing a firearm.
House,HF0008,5,03/06/2019,,,Pinto,Firearm transfer criminal background checks required.
House,HF2709,4,04/01/2019,,,Mariani,"Peace officer training reimbursement funding provided, and money appropriated."
House,HF2367,4,04/01/2019,,,Dehn,Certifying entities required to timely process visa certification documents.
House,HF1850,4,04/01/2019,,,Edelson,"Supplemental nonprofit security grant program extended, and money appropriated."
House,HF1715,4,05/18/2019,,,Daudt,"Fireworks manufacture, sale, and use regulated; and revenue portion of fireworks sale dedicated for public safety."
House,HF1532,4,02/28/2019,,,Becker-Finn,"Reproductive health services and facilities interference from persons prohibited, and criminal penalties established."
House,HF1490,4,02/25/2019,,,Tabke,"Soft body armor reimbursement funding provided, and money appropriated."
